symbol,quarter,promoter,public
HFCL,2022-06-30,39.2,60.62
HGINFRA,2022-06-30,74.53,25.47
HGM,2022-06-30,50.42,49.58
HGS,2022-06-30,67.13,32.87
HIKAL,2022-06-30,68.77,31.23
HILTON,2022-06-30,47.33,52.67
HIMATSEIDE,2022-06-30,47.57,52.43
HINDALCO,2022-06-30,34.64,65.07
HINDCOMPOS,2022-06-30,74.97,25.03
HINDCON,2022-06-30,68.08,31.93
HINDCOPPER,2022-06-30,66.14,33.86
HINDOILEXP,2022-06-30,0.0,100.0
HINDPETRO,2022-06-30,54.9,45.1
HINDUNILVR,2022-06-30,61.9,38.1
HINDWAREAP,2022-06-30,51.32,48.68
HINDZINC,2022-06-30,64.92,35.08
HIRECT,2022-06-30,42.25,57.75
HISARMETAL,2022-06-30,56.49,43.51
HITECH,2022-06-30,59.32,40.68
HITECHCORP,2022-06-30,74.43,25.57
HITECHGEAR,2022-06-30,56.22,43.78
HLVLTD,2022-06-30,49.57,50.43
HMT,2022-06-30,93.69,6.31
HMVL,2022-06-30,74.4,25.29
HOMEFIRST,2022-06-30,33.58,66.4
HONAUT,2022-06-30,75.0,25.0
HONDAPOWER,2022-06-30,66.67,33.33
HPAL,2022-06-30,71.35,28.65
HPL,2022-06-30,72.66,27.34
HSCL,2022-06-30,45.39,54.61
HTMEDIA,2022-06-30,69.51,29.85
HUBTOWN,2022-06-30,42.63,57.37
HUDCO,2022-06-30,81.81,18.19
HUHTAMAKI,2022-06-30,67.73,32.27
IBULLSLTD,2022-06-30,43.25,54.79
ICDSLTD,2022-06-30,52.28,47.72
ICEMAKE,2022-06-30,74.63,25.37
ICICIBANK,2022-06-30,0.0,100.0
ICICIGI,2022-06-30,48.03,51.97
ICICIPRULI,2022-06-30,73.4,26.6
ICIL,2022-06-30,58.94,41.06
ICRA,2022-06-30,51.87,47.8
IDBI,2022-06-30,94.71,5.29
IDEA,2022-06-30,74.99,25.01
IDFCFIRSTB,2022-06-30,36.48,63.52
IEX,2022-06-30,0.0,99.71
IFBAGRO,2022-06-30,65.0,35.0
IFBIND,2022-06-30,74.96,25.04
IFCI,2022-06-30,64.86,35.14
IFGLEXPOR,2022-06-30,72.43,27.57
IGARASHI,2022-06-30,75.0,25.0
IGL,2022-06-30,45.0,55.0
IGPL,2022-06-30,68.74,31.26
IIFL,2022-06-30,24.9,75.1
IIFLCAPS,2022-06-30,31.29,68.71
IITL,2022-06-30,57.97,42.03
IMAGICAA,2022-06-30,72.93,27.07
IMFA,2022-06-30,58.69,41.31
IMPAL,2022-06-30,30.72,69.28
INCREDIBLE,2022-06-30,74.96,25.04
INDBANK,2022-06-30,64.84,35.16
INDHOTEL,2022-06-30,38.19,61.81
INDIACEM,2022-06-30,28.42,71.58
INDIAGLYCO,2022-06-30,61.02,38.97
INDIAMART,2022-06-30,49.22,50.04
INDIANB,2022-06-30,79.86,20.14
INDIANCARD,2022-06-30,67.33,32.67
INDIANHUME,2022-06-30,69.92,30.08
INDIGO,2022-06-30,74.77,25.23
INDIGOPNTS,2022-06-30,54.0,46.0
INDNIPPON,2022-06-30,70.39,29.61
INDOAMIN,2022-06-30,69.33,30.67
INDOBORAX,2022-06-30,54.19,45.81
INDOCO,2022-06-30,58.69,41.31
INDORAMA,2022-06-30,75.0,25.0
INDOSTAR,2022-06-30,89.21,10.79
INDOTECH,2022-06-30,75.0,25.0
INDOTHAI,2022-06-30,72.18,27.82
INDOWIND,2022-06-30,45.87,54.13
INDRAMEDCO,2022-06-30,51.0,49.0
INDSWFTLAB,2022-06-30,42.0,58.0
INDTERRAIN,2022-06-30,29.12,70.88
INDUSINDBK,2022-06-30,16.51,83.49
INDUSTOWER,2022-06-30,68.81,31.17
INFOBEAN,2022-06-30,74.32,25.68
INFOMEDIA,2022-06-30,50.69,49.31
INFY,2022-06-30,13.11,86.57
INGERRAND,2022-06-30,75.0,25.0
INOXWIND,2022-06-30,72.24,27.76
INSECTICID,2022-06-30,72.16,27.84
INSPIRISYS,2022-06-30,69.95,30.05
INTELLECT,2022-06-30,30.76,69.23
INTENTECH,2022-06-30,18.08,81.92
INTLCONV,2022-06-30,66.33,33.67
INVENTURE,2022-06-30,26.4,73.6
IOB,2022-06-30,96.38,3.62
IOC,2022-06-30,51.5,48.5
IOLCP,2022-06-30,43.69,56.31
IONEXCHANG,2022-06-30,27.01,56.81
IPCALAB,2022-06-30,46.29,53.71
IPL,2022-06-30,66.76,33.24
IRB,2022-06-30,34.2,65.8
IRCON,2022-06-30,73.18,26.82
IRCTC,2022-06-30,67.4,32.6
IRFC,2022-06-30,86.36,13.64
IRIS,2022-06-30,38.1,61.9
IRISDOREME,2022-06-30,70.71,29.29
ISFT,2022-06-30,47.68,52.32
ISGEC,2022-06-30,62.43,37.57
ITC,2022-06-30,0.0,100.0
ITDC,2022-06-30,87.03,12.97
ITI,2022-06-30,90.09,9.91
IVC,2022-06-30,50.42,49.58
IVP,2022-06-30,71.32,28.68
IZMO,2022-06-30,28.69,71.31
JAGRAN,2022-06-30,69.41,30.59
JAGSNPHARM,2022-06-30,68.71,31.29
JAIBALAJI,2022-06-30,50.98,49.02
JAICORPLTD,2022-06-30,73.01,27.0
JAIPURKURT,2022-06-30,70.64,29.36
JAMNAAUTO,2022-06-30,49.98,50.02
JASH,2022-06-30,52.56,47.43
JAYAGROGN,2022-06-30,66.44,33.56
JAYBARMARU,2022-06-30,59.35,40.65
JAYNECOIND,2022-06-30,49.48,50.52
JAYSREETEA,2022-06-30,50.43,49.57
JBFIND,2022-06-30,22.91,77.09
JBMA,2022-06-30,67.53,32.47
JETFREIGHT,2022-06-30,70.15,29.85
JHS,2022-06-30,42.23,57.77
JINDALPHOT,2022-06-30,72.72,27.28
JINDALPOLY,2022-06-30,74.55,25.45
JINDALSAW,2022-06-30,63.02,36.32
JINDALSTEL,2022-06-30,60.44,38.53
JINDRILL,2022-06-30,67.42,32.58
JINDWORLD,2022-06-30,61.32,38.68
JISLDVREQS,2022-06-30,30.37,69.63
JISLJALEQS,2022-06-30,26.91,72.77
JITFINFRA,2022-06-30,63.02,36.98
JKCEMENT,2022-06-30,45.84,54.16
JKIL,2022-06-30,46.65,53.35
JKLAKSHMI,2022-06-30,46.31,53.69
JKPAPER,2022-06-30,49.63,50.37
JKTYRE,2022-06-30,56.26,43.74
JMA,2022-06-30,51.0,49.0
JMFINANCIL,2022-06-30,55.41,44.59
JOCIL,2022-06-30,55.02,44.98
JPOLYINVST,2022-06-30,74.63,25.37
JPPOWER,2022-06-30,24.0,76.0
JSL,2022-06-30,70.1,29.9
JSWDULUX,2022-06-30,74.76,25.24
JSWENERGY,2022-06-30,74.69,25.05
JSWHL,2022-06-30,66.26,33.69
JSWSTEEL,2022-06-30,45.02,54.33
JTEKTINDIA,2022-06-30,73.98,26.02
JUBLFOOD,2022-06-30,41.94,57.86
JUBLINGREA,2022-06-30,51.47,48.33
JUBLPHARMA,2022-06-30,50.68,49.26
JUSTDIAL,2022-06-30,77.05,22.95
JWL,2022-06-30,74.62,25.38
JYOTHYLAB,2022-06-30,62.89,37.11
JYOTISTRUC,2022-06-30,0.0,100.0
KABRAEXTRU,2022-06-30,60.45,39.55
KAJARIACER,2022-06-30,47.5,52.49
KAKATCEM,2022-06-30,54.26,45.74
KALYANI,2022-06-30,53.14,46.86
KALYANIFRG,2022-06-30,58.61,41.39
KALYANKJIL,2022-06-30,60.54,39.46
KAMATHOTEL,2022-06-30,60.9,39.15
KAMDHENU,2022-06-30,64.29,35.71
KANANIIND,2022-06-30,61.35,38.65
KANORICHEM,2022-06-30,74.43,25.57
KANPRPLA,2022-06-30,72.52,27.48
KANSAINER,2022-06-30,74.99,25.01
KAPSTON,2022-06-30,72.87,27.13
KARMAENG,2022-06-30,74.7,25.3
KARURVYSYA,2022-06-30,2.28,97.73
KAUSHALYA,2022-06-30,51.42,48.58
KAVDEFENCE,2022-06-30,15.68,84.32
KAYA,2022-06-30,59.93,40.07
KCP,2022-06-30,43.99,56.01
KCPSUGIND,2022-06-30,40.59,59.41
KDDL,2022-06-30,46.87,53.13
KEC,2022-06-30,51.88,48.12
KECL,2022-06-30,49.51,50.49
KEEPLEARN,2022-06-30,39.99,60.01
KEI,2022-06-30,38.02,61.98
KELLTONTEC,2022-06-30,52.16,47.84
KERNEX,2022-06-30,31.27,68.73
KESORAMIND,2022-06-30,49.21,50.79
KEYFINSERV,2022-06-30,56.43,43.57
KHADIM,2022-06-30,60.27,39.73
KHAICHEM,2022-06-30,74.99,25.01
KHAITANLTD,2022-06-30,60.25,39.77
KHANDSE,2022-06-30,60.9,39.1
KICL,2022-06-30,74.97,25.03
KILITCH,2022-06-30,68.25,31.75
KIMS,2022-06-30,38.84,61.16
KINGFA,2022-06-30,74.99,25.01
KIRIINDUS,2022-06-30,26.72,73.28
KIRLOSBROS,2022-06-30,65.95,34.05
KIRLOSENG,2022-06-30,59.44,40.55
KIRLOSIND,2022-06-30,72.42,27.58
KITEX,2022-06-30,56.66,43.34
KKCL,2022-06-30,74.25,25.75
KMSUGAR,2022-06-30,64.56,35.44
KNRCON,2022-06-30,51.63,48.37
KOHINOOR,2022-06-30,54.56,45.44
KOKUYOCMLN,2022-06-30,74.99,25.01
KOLTEPATIL,2022-06-30,74.45,25.55
KOPRAN,2022-06-30,44.25,55.75
KOTAKBANK,2022-06-30,25.97,74.03
KOTARISUG,2022-06-30,73.53,26.46
KOTHARIPET,2022-06-30,70.98,29.01
KOTHARIPRO,2022-06-30,74.99,25.01
KPIGREEN,2022-06-30,54.68,45.32
KPIL,2022-06-30,51.55,48.45
KPITTECH,2022-06-30,40.11,58.42
KPRMILL,2022-06-30,74.78,25.22
KRBL,2022-06-30,59.96,40.04
KREBSBIO,2022-06-30,72.74,27.26
KRIDHANINF,2022-06-30,47.15,52.85
KRISHANA,2022-06-30,64.83,35.17
KRITI,2022-06-30,66.35,33.65
KRITIKA,2022-06-30,72.89,27.1
KRSNAA,2022-06-30,27.38,72.62
KSB,2022-06-30,66.69,33.31
KSCL,2022-06-30,57.44,41.06
KSHITIJPOL,2022-06-30,62.95,37.06
KSL,2022-06-30,64.69,35.31
KSOILS,2022-06-30,7.54,92.46
KSOLVES,2022-06-30,62.45,37.55
KTKBANK,2022-06-30,0.0,100.0
KUANTUM,2022-06-30,70.3,29.7
KUNDANMM,2022-06-30,5.46,94.54
LAGNAM,2022-06-30,67.36,32.65
LALPATHLAB,2022-06-30,55.05,44.35
LAMBODHARA,2022-06-30,72.73,27.27
LANDSMILL,2022-06-30,50.12,49.88
LAOPALA,2022-06-30,65.64,34.36
LATENTVIEW,2022-06-30,67.21,32.79
LAURUSLABS,2022-06-30,27.27,72.73
LAXMICOT,2022-06-30,57.4,42.6
LCCINFOTEC,2022-06-30,45.84,54.16
LEMERITE,2022-06-30,72.74,27.26
LEMONTREE,2022-06-30,23.93,75.95
LFIC,2022-06-30,47.0,53.0
LGBBROSLTD,2022-06-30,34.32,65.68
LIBAS,2022-06-30,30.57,69.44
LIBERTSHOE,2022-06-30,59.38,40.62
LICHSGFIN,2022-06-30,45.24,54.76
LICI,2022-06-30,96.5,3.5
LIKHITHA,2022-06-30,74.11,25.89
LINC,2022-06-30,58.7,41.3
LINCOLN,2022-06-30,43.36,56.64
LINDEINDIA,2022-06-30,75.0,25.0
LLOYDSENGG,2022-06-30,57.65,42.35
LMW,2022-06-30,31.13,68.87
LODHA,2022-06-30,82.2,17.8
LOKESHMACH,2022-06-30,53.05,46.95
LOTUSEYE,2022-06-30,57.74,42.26
LOVABLE,2022-06-30,63.95,36.05
LPDC,2022-06-30,65.16,34.84
LT,2022-06-30,0.0,100.0
LTF,2022-06-30,66.23,33.77
LTFOODS,2022-06-30,56.81,43.19
LTM,2022-06-30,74.03,25.97
LTTS,2022-06-30,73.88,26.12
LUMAXIND,2022-06-30,75.0,25.0
LUMAXTECH,2022-06-30,55.98,44.02
LUPIN,2022-06-30,47.1,52.9
LUXIND,2022-06-30,74.33,25.67
LXCHEM,2022-06-30,72.53,27.47
LYKALABS,2022-06-30,47.8,52.2
MAANALU,2022-06-30,66.04,33.96
MACPOWER,2022-06-30,73.11,26.9
MADHAV,2022-06-30,42.22,57.78
MADHUCON,2022-06-30,59.08,40.92
MADRASFERT,2022-06-30,85.27,14.73
MAGADSUGAR,2022-06-30,61.02,38.98
MAGNUM,2022-06-30,53.24,46.76
MAHABANK,2022-06-30,90.97,9.03
MAHAPEXLTD,2022-06-30,62.54,37.46
MAHASTEEL,2022-06-30,73.41,26.59
MAHEPC,2022-06-30,54.31,45.69
MAHESHWARI,2022-06-30,57.4,41.38
MAHLIFE,2022-06-30,51.33,48.67
MAHLOG,2022-06-30,58.12,41.88
MAHSCOOTER,2022-06-30,51.05,48.95
MAHSEAMLES,2022-06-30,67.08,32.92
MAITHANALL,2022-06-30,74.99,25.01
MALLCOM,2022-06-30,73.78,26.22
MALUPAPER,2022-06-30,69.95,30.05
MANAKALUCO,2022-06-30,72.86,27.14
MANAKCOAT,2022-06-30,67.43,32.57
MANAKSIA,2022-06-30,74.93,25.07
MANAKSTEEL,2022-06-30,74.75,25.25
MANALIPETC,2022-06-30,44.86,55.14
MANAPPURAM,2022-06-30,35.15,64.85
MANGALAM,2022-06-30,50.42,49.58
MANGLMCEM,2022-06-30,30.14,69.86
MANINDS,2022-06-30,45.69,54.31
MANINFRA,2022-06-30,66.87,33.13
MANORAMA,2022-06-30,57.26,42.74
MANORG,2022-06-30,54.91,45.09
MANUGRAPH,2022-06-30,57.65,42.35
MANYAVAR,2022-06-30,84.91,15.09
MAPMYINDIA,2022-06-30,53.73,46.27
MARALOVER,2022-06-30,74.95,25.05
MARATHON,2022-06-30,74.65,25.35
MARICO,2022-06-30,59.48,40.41
MARINE,2022-06-30,73.63,26.37
MARKSANS,2022-06-30,48.25,51.75
MARUTI,2022-06-30,56.37,43.63
MASFIN,2022-06-30,73.71,26.29
MASKINVEST,2022-06-30,72.25,27.75
MASTEK,2022-06-30,37.31,62.69
MATRIMONY,2022-06-30,50.14,49.86
MAWANASUG,2022-06-30,63.49,36.51
MAXHEALTH,2022-06-30,50.64,49.36
MAXIND,2022-06-30,40.89,59.11
MAYURUNIQ,2022-06-30,59.46,40.54
MAZDA,2022-06-30,48.34,51.66
MAZDOCK,2022-06-30,84.83,15.17
MBAPL,2022-06-30,74.54,25.46
MBECL,2022-06-30,32.79,67.21
MBLINFRA,2022-06-30,68.49,31.51
MCL,2022-06-30,66.33,33.67
MCLEODRUSS,2022-06-30,6.25,93.75
MEDICAMEQ,2022-06-30,43.6,56.4
MEDICO,2022-06-30,73.34,26.66
MEDPLUS,2022-06-30,40.43,59.22
MEGASTAR,2022-06-30,68.39,31.61
MENONBE,2022-06-30,71.25,28.75
MEP,2022-06-30,57.9,42.1
METROBRAND,2022-06-30,74.27,25.73
METROPOLIS,2022-06-30,49.79,50.21
MFSL,2022-06-30,14.72,85.28
MGEL,2022-06-30,72.31,27.7
MGL,2022-06-30,32.5,67.5
MHLXMIRU,2022-06-30,66.71,33.29
MHRIL,2022-06-30,67.2,32.44
MICEL,2022-06-30,74.63,25.37
MIDHANI,2022-06-30,74.0,26.0
MINDACORP,2022-06-30,64.73,33.56
MINDTECK,2022-06-30,63.84,34.54
MIRZAINT,2022-06-30,67.91,32.09
MITCON,2022-06-30,0.0,100.0
MITTAL,2022-06-30,45.08,54.93
MMFL,2022-06-30,56.34,43.66
MMP,2022-06-30,74.48,25.53
MMTC,2022-06-30,89.93,10.07
MODIRUBBER,2022-06-30,62.69,37.31
MODISONLTD,2022-06-30,52.11,47.88
MODTHREAD,2022-06-30,65.1,34.9
MOHITIND,2022-06-30,54.32,45.68
MOIL,2022-06-30,64.68,35.32
MOKSH,2022-06-30,55.13,44.87
MOL,2022-06-30,49.29,50.71
MOLDTECH,2022-06-30,47.83,52.17
MOLDTKPAC,2022-06-30,34.23,65.77
MONARCH,2022-06-30,55.26,44.74
MONTECARLO,2022-06-30,73.17,26.83
MOREPENLAB,2022-06-30,36.74,63.26
MOTHERSON,2022-06-30,68.16,31.84
MOTILALOFS,2022-06-30,69.5,30.5
MOTOGENFIN,2022-06-30,69.05,30.95
MPHASIS,2022-06-30,55.72,44.28
MPSLTD,2022-06-30,68.34,31.66
MRF,2022-06-30,27.94,72.06
MRPL,2022-06-30,88.58,11.42
MSPL,2022-06-30,41.62,58.38
MSTCLTD,2022-06-30,64.75,35.25
MSUMI,2022-06-30,61.73,38.27
MTARTECH,2022-06-30,47.47,52.53
MTEDUCARE,2022-06-30,59.12,40.88
MTNL,2022-06-30,56.89,43.11
MUKANDLTD,2022-06-30,73.82,26.18
MUKTAARTS,2022-06-30,70.67,29.33
MUNJALAU,2022-06-30,74.81,25.19
MUNJALSHOW,2022-06-30,65.02,34.98
MURUDCERA,2022-06-30,72.65,27.35
MUTHOOTCAP,2022-06-30,62.62,37.38
MUTHOOTFIN,2022-06-30,73.37,26.63
NACLIND,2022-06-30,63.97,36.03
NAGREEKCAP,2022-06-30,53.53,46.47
NAGREEKEXP,2022-06-30,52.87,47.13
NAHARCAP,2022-06-30,71.54,28.46
NAHARINDUS,2022-06-30,68.81,31.19
NAHARPOLY,2022-06-30,70.65,29.35
NAHARSPING,2022-06-30,66.31,33.69
NAM-INDIA,2022-06-30,73.74,26.26
NARMADA,2022-06-30,67.05,32.95
NATCOPHARM,2022-06-30,48.8,51.2
NATHBIOGEN,2022-06-30,41.07,58.93
NATIONALUM,2022-06-30,51.28,48.72
NAUKRI,2022-06-30,38.11,61.69
NAVA,2022-06-30,49.53,50.47
NAVINFLUOR,2022-06-30,29.7,70.3
NAVKARCORP,2022-06-30,69.03,30.97
NAVNETEDUL,2022-06-30,63.31,36.69
NAZARA,2022-06-30,19.2,80.8
NBCC,2022-06-30,61.75,38.25
NBIFIN,2022-06-30,74.33,25.67
NCC,2022-06-30,21.11,78.89
NCLIND,2022-06-30,45.73,54.28
NDGL,2022-06-30,73.58,26.42
NDL,2022-06-30,64.73,35.27
NDLVENTURE,2022-06-30,64.67,35.33
NDRAUTO,2022-06-30,73.95,26.05
NDTV,2022-06-30,61.45,38.55
NECCLTD,2022-06-30,52.67,47.33
NECLIFE,2022-06-30,55.8,44.2
NELCAST,2022-06-30,74.87,25.13
NELCO,2022-06-30,50.09,49.91
NEOGEN,2022-06-30,60.19,39.81
NESCO,2022-06-30,68.54,31.46
NETWORK18,2022-06-30,75.0,25.0
NEULANDLAB,2022-06-30,36.22,63.78
NEWGEN,2022-06-30,55.16,44.33
NEXTMEDIA,2022-06-30,74.99,25.01
NFL,2022-06-30,74.71,25.29
NGIL,2022-06-30,71.69,28.31
NGLFINE,2022-06-30,73.81,26.19
NH,2022-06-30,63.85,35.46
NHPC,2022-06-30,70.95,29.05
NIACL,2022-06-30,85.44,14.56
NIBL,2022-06-30,74.11,25.89
NIITLTD,2022-06-30,34.98,65.02
NILAINFRA,2022-06-30,61.9,38.1
NILASPACES,2022-06-30,61.9,38.1
NILKAMAL,2022-06-30,64.53,35.47
NIPPOBATRY,2022-06-30,65.35,34.65
NIRAJ,2022-06-30,24.26,75.74
NIRAJISPAT,2022-06-30,74.59,25.42
NITCO,2022-06-30,53.02,46.98
NITINSPIN,2022-06-30,56.36,43.65
NITIRAJ,2022-06-30,69.07,30.94
NKIND,2022-06-30,72.31,27.69
NLCINDIA,2022-06-30,79.2,20.8
NMDC,2022-06-30,60.79,39.21
NOCIL,2022-06-30,33.85,66.15
NOIDATOLL,2022-06-30,26.37,73.63
NORBTEAEXP,2022-06-30,51.45,48.55
NRAIL,2022-06-30,73.55,26.44
NRBBEARING,2022-06-30,49.86,50.14
NRL,2022-06-30,72.53,27.48
NSIL,2022-06-30,55.61,44.39
NTPC,2022-06-30,51.1,48.9
NUCLEUS,2022-06-30,73.28,26.72
NURECA,2022-06-30,70.0,30.0
NUVOCO,2022-06-30,71.72,28.28
NYKAA,2022-06-30,52.41,47.59
OAL,2022-06-30,74.17,25.83
OBCL,2022-06-30,68.56,31.44
OBEROIRLTY,2022-06-30,67.7,32.3
OFSS,2022-06-30,73.02,26.98
OIL,2022-06-30,56.66,43.34
OILCOUNTUB,2022-06-30,49.22,50.77
OLECTRA,2022-06-30,50.02,49.98
OMAXAUTO,2022-06-30,57.31,42.69
OMAXE,2022-06-30,74.14,25.86
OMINFRAL,2022-06-30,71.68,28.32
OMKARCHEM,2022-06-30,14.71,85.29
ONELIFECAP,2022-06-30,52.1,47.9
ONEPOINT,2022-06-30,70.13,29.87
ONGC,2022-06-30,58.89,41.11
ONIDA,2022-06-30,53.36,46.64
ONMOBILE,2022-06-30,48.2,51.8
ONWARDTEC,2022-06-30,45.69,54.31
OPTIEMUS,2022-06-30,74.93,25.07
ORBTEXP,2022-06-30,66.12,33.88
ORCHPHARMA,2022-06-30,89.96,10.04
ORICONENT,2022-06-30,66.92,33.08
ORIENTALTL,2022-06-30,28.08,71.92
ORIENTBELL,2022-06-30,64.31,35.69
ORIENTCEM,2022-06-30,37.9,62.1
ORIENTCER,2022-06-30,63.58,36.42
ORIENTELEC,2022-06-30,38.52,61.48
ORIENTHOT,2022-06-30,67.55,32.44
ORIENTLTD,2022-06-30,73.05,26.95
ORIENTPPR,2022-06-30,38.74,61.26
ORISSAMINE,2022-06-30,50.01,49.99
ORTINGLOBE,2022-06-30,15.68,84.32
OSWALAGRO,2022-06-30,41.74,58.26
OSWALGREEN,2022-06-30,64.33,35.67
PAGEIND,2022-06-30,46.12,53.88
PAISALO,2022-06-30,44.16,55.84
PALASHSECU,2022-06-30,71.85,28.15
PALREDTEC,2022-06-30,37.78,62.22
PANACEABIO,2022-06-30,73.59,26.41
PANACHE,2022-06-30,65.49,34.5
PANAMAPET,2022-06-30,71.11,28.89
PANSARI,2022-06-30,73.88,26.12
PAR,2022-06-30,74.21,25.8
PARACABLES,2022-06-30,62.12,37.88
PARADEEP,2022-06-30,56.1,43.9
PARAGMILK,2022-06-30,40.75,59.07
PARAS,2022-06-30,58.94,41.06
PARASPETRO,2022-06-30,39.3,60.71
PARSVNATH,2022-06-30,68.56,31.44
PASUPTAC,2022-06-30,65.87,34.13
PATANJALI,2022-06-30,80.82,19.18
PATELENG,2022-06-30,54.62,42.64
PATINTLOG,2022-06-30,41.08,58.92
PAYTM,2022-06-30,0.0,100.0
PCBL,2022-06-30,51.38,48.62
PCJEWELLER,2022-06-30,54.53,45.47
PDMJEPAPER,2022-06-30,71.05,28.95
PDSL,2022-06-30,66.52,33.46
PEARLPOLY,2022-06-30,55.58,44.42
PENIND,2022-06-30,38.2,61.8
PENINLAND,2022-06-30,61.61,38.39
PERSISTENT,2022-06-30,31.26,65.91
PETRONET,2022-06-30,50.0,50.0
PFC,2022-06-30,55.99,44.01
PFIZER,2022-06-30,63.92,36.08
PFOCUS,2022-06-30,69.96,30.04
PFS,2022-06-30,64.99,35.01
PGEL,2022-06-30,65.71,34.29
PGHH,2022-06-30,70.64,29.36
PGHL,2022-06-30,51.82,48.18
PGIL,2022-06-30,66.58,33.42
PHOENIXLTD,2022-06-30,47.32,52.68
PIDILITIND,2022-06-30,69.94,30.06
PIIND,2022-06-30,46.74,53.22
PILANIINVS,2022-06-30,57.55,42.45
PILITA,2022-06-30,50.09,49.91
PIONEEREMB,2022-06-30,32.86,67.14
PITTIENG,2022-06-30,59.28,40.72
PIXTRANS,2022-06-30,61.79,38.21
PKTEA,2022-06-30,56.59,43.42
PLASTIBLEN,2022-06-30,63.9,36.1
PNB,2022-06-30,73.15,26.85
PNBGILTS,2022-06-30,74.07,25.93
PNBHOUSING,2022-06-30,32.57,67.43
PNC,2022-06-30,54.84,45.16
PNCINFRA,2022-06-30,56.07,43.93
PODDARHOUS,2022-06-30,60.82,39.18
PODDARMENT,2022-06-30,62.43,37.57
POKARNA,2022-06-30,56.66,43.34
POLICYBZR,2022-06-30,0.0,98.92
POLYCAB,2022-06-30,67.99,32.01
POLYMED,2022-06-30,53.34,46.66
POLYPLEX,2022-06-30,50.97,49.03
PONNIERODE,2022-06-30,42.36,57.64
POONAWALLA,2022-06-30,61.49,38.51
POWERGRID,2022-06-30,51.34,48.66
POWERINDIA,2022-06-30,75.0,25.0
POWERMECH,2022-06-30,63.69,36.31
PPAP,2022-06-30,64.87,35.13
PPL,2022-06-30,44.27,55.73
PRAENG,2022-06-30,32.87,67.13
PRAJIND,2022-06-30,32.83,67.17
PRAKASH,2022-06-30,43.29,56.71
PRAKASHSTL,2022-06-30,33.1,66.9
PRAXIS,2022-06-30,55.66,44.34
PRECAM,2022-06-30,65.37,34.63
PRECOT,2022-06-30,61.5,38.49
PRECWIRE,2022-06-30,59.67,40.33
PREMEXPLN,2022-06-30,41.33,58.67
PREMIER,2022-06-30,27.5,72.5
PREMIERPOL,2022-06-30,67.52,32.48
PRESTIGE,2022-06-30,65.48,34.52
PRICOLLTD,2022-06-30,36.53,63.47
PRIMESECU,2022-06-30,0.0,100.0
PRINCEPIPE,2022-06-30,62.94,37.06
PRITI,2022-06-30,74.59,25.4
PRITIKAUTO,2022-06-30,48.13,51.87
PRIVISCL,2022-06-30,74.05,25.95
PROZONER,2022-06-30,27.54,72.46
PRSMJOHNSN,2022-06-30,74.87,25.13
PRUDENT,2022-06-30,58.44,41.56
PRUDMOULI,2022-06-30,59.02,40.98
PSB,2022-06-30,98.25,1.75
PSPPROJECT,2022-06-30,70.39,29.61
PTC,2022-06-30,16.22,83.78
PTL,2022-06-30,69.82,30.18
PUNJABCHEM,2022-06-30,39.22,60.78
PUNJLLOYD,2022-06-30,7.72,92.28
PURVA,2022-06-30,75.0,25.0
PVP,2022-06-30,57.53,42.47
PVRINOX,2022-06-30,16.99,83.01
QUESS,2022-06-30,51.84,48.16
QUICKHEAL,2022-06-30,72.84,27.15
QUINTEGRA,2022-06-30,2.48,97.52
RADAAN,2022-06-30,51.42,48.58
RADICO,2022-06-30,40.27,59.73
RADIOCITY,2022-06-30,74.05,25.95
RAILTEL,2022-06-30,72.84,27.16
RAIN,2022-06-30,41.14,58.86
RAINBOW,2022-06-30,49.83,50.17
RAJESHEXPO,2022-06-30,54.05,45.95
RAJMET,2022-06-30,73.23,26.76
RAJRATAN,2022-06-30,65.0,35.0
RAJRILTD,2022-06-30,94.96,5.04
RAJSREESUG,2022-06-30,40.66,59.34
RAJTV,2022-06-30,71.42,28.58
RALLIS,2022-06-30,50.09,49.91
RAMANEWS,2022-06-30,74.76,25.24
RAMASTEEL,2022-06-30,70.46,29.54
RAMCOCEM,2022-06-30,42.33,57.67
RAMCOIND,2022-06-30,53.97,46.03
RAMCOSYS,2022-06-30,54.27,45.73
RAMKY,2022-06-30,69.83,30.17
RANASUG,2022-06-30,22.64,77.36
RANEHOLDIN,2022-06-30,46.57,53.43
RATEGAIN,2022-06-30,55.91,44.09
RATNAMANI,2022-06-30,60.16,39.84
RAYMOND,2022-06-30,49.16,50.84
RBA,2022-06-30,40.91,59.09
RBLBANK,2022-06-30,0.0,100.0
RCF,2022-06-30,75.0,25.0
RECLTD,2022-06-30,52.63,47.37
REDINGTON,2022-06-30,0.0,100.0
REFEX,2022-06-30,50.21,49.79
REGENCERAM,2022-06-30,60.59,39.41
RELAXO,2022-06-30,70.78,29.22
RELCHEMQ,2022-06-30,67.68,32.32
RELIABLE,2022-06-30,71.77,28.23
RELIANCE,2022-06-30,50.62,49.38
RELIGARE,2022-06-30,0.0,100.0
RELINFRA,2022-06-30,4.98,94.85
REMSONSIND,2022-06-30,75.0,25.0
RENUKA,2022-06-30,62.48,37.52
REPCOHOME,2022-06-30,37.13,62.87
REPL,2022-06-30,68.64,31.37
REPRO,2022-06-30,51.48,48.52
RESPONIND,2022-06-30,50.13,49.87
RGL,2022-06-30,70.64,29.36
